BP_APPL_SEQ,LOAN_TYPE_NAME,source_appl_seq,X135,X145,X139,X134,X136,X140,X143,X152,X141,X155,X153,X029,X114,X137,X150,X138,X142,X131,X132,X133,X016,X017,X172,X171,X170,X169,X016,X017
D072203020049661321,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,9,0,68,28,-999999,-999999,0.4286,350,1,0,1,0,0,-999999,-999999,0,1,0,9,-999999,-999999
D072203020049661321,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,9,0,68,28,-999999,-999999,0.4286,350,1,0,1,0,0,-999999,-999999,0,1,0,9,-999999,-999999
D072203020049661370,???????,2.02203E+17,1,-999999,-999999,0,93,0,-999999,19,0,33,53,-999999,-999999,0.5,0,0.8333,0,1,0,0,-999999,-999999,0,1,3,33,-999999,-999999
D072203020049661370,???????,2.02203E+17,1,-999999,-999999,0,93,0,-999999,19,0,33,53,-999999,-999999,0.5,0,0.8333,0,1,0,0,-999999,-999999,0,1,3,33,-999999,-999999
D072203020049670281,???????,2.02203E+17,1,-999999,-999999,0,145,0,-999999,27,0,21,28,-999999,-999999,0.3333,-999999,1,0,1,0,0,-999999,-999999,0,0,2,28,-999999,-999999
D072203020049670281,???????,2.02203E+17,1,-999999,-999999,0,145,0,-999999,27,0,21,28,-999999,-999999,0.3333,-999999,1,0,1,0,0,-999999,-999999,0,0,2,28,-999999,-999999
D072203020049670555,???????,2.02203E+17,0,-999999,-999999,0,218,0,-999999,26,0,21,18,-999999,-999999,0.6842,420,1,0,1,0,0,-999999,-999999,0,1,2,35,-999999,-999999
D072203020049670555,???????,2.02203E+17,0,-999999,-999999,0,218,0,-999999,26,0,21,18,-999999,-999999,0.6842,420,1,0,1,0,0,-999999,-999999,0,1,2,35,-999999,-999999
D072203020049670619,???????,2.02203E+17,0,-999999,0,0,652,0,-999999,21,0,36,39,4000,-999999,0.9375,-999999,1,0,1,1,0,-999999,-999999,0,0,1,33,-999999,-999999
D072203020049670619,???????,2.02203E+17,0,-999999,0,0,652,0,-999999,21,0,36,39,4000,-999999,0.9375,-999999,1,0,1,1,0,-999999,-999999,0,0,1,33,-999999,-999999
D072203020049671133,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,29,0,28,36,-999999,-999999,0.7368,-999999,0.8947,0,1,0,0,-999999,-999999,0,0,0,32,-999999,-999999
D072203020049671133,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,29,0,28,36,-999999,-999999,0.7368,-999999,0.8947,0,1,0,0,-999999,-999999,0,0,0,32,-999999,-999999
D072203020049671360,???????,2.02203E+17,0,-999999,1,0,665,3,-999999,7,0,25,108,10000,60000,0.2857,-999999,0.9286,0,1,1,0,-999999,-999999,0,0,1,12,-999999,-999999
D072203020049671360,???????,2.02203E+17,0,-999999,1,0,665,3,-999999,7,0,25,108,10000,60000,0.2857,-999999,0.9286,0,1,1,0,-999999,-999999,0,0,1,12,-999999,-999999
D072203020049680263,???????,2.02203E+17,0,1,-999999,0,84,0,1,22,3,65,61,-999999,-999999,0.7333,-999999,0.8667,0,1,0,0,3,-999999,0,0,6,29,3,-999999
D072203020049680263,???????,2.02203E+17,0,1,-999999,0,84,0,1,22,3,65,61,-999999,-999999,0.7333,-999999,0.8667,0,1,0,0,3,-999999,0,0,6,29,3,-999999
D072203020049680264,???????,2.02203E+17,0,-999999,1,0,265,0,-999999,15,0,29,49,10000,10000,0.5714,370,0.8571,0,1,1,0,-999999,-999999,0,1,1,20,-999999,-999999
D072203020049680264,???????,2.02203E+17,0,-999999,1,0,265,0,-999999,15,0,29,49,10000,10000,0.5714,370,0.8571,0,1,1,0,-999999,-999999,0,1,1,20,-999999,-999999
D072203020049680389,???????,2.02203E+17,3,-999999,-999999,0,192,0,-999999,33,0,39,32,-999999,-999999,0.8214,-999999,0.8571,0,1,0,0,-999999,-999999,0,0,2,50,-999999,-999999
D072203020049680389,???????,2.02203E+17,3,-999999,-999999,0,192,0,-999999,33,0,39,32,-999999,-999999,0.8214,-999999,0.8571,0,1,0,0,-999999,-999999,0,0,2,50,-999999,-999999
D072203020049680631,???????,2.02203E+17,0,-999999,1,0,651,1,-999999,19,0,44,43,6000,6000,0.375,-999999,0.875,0,1,1,0,-999999,-999999,0,0,1,37,-999999,-999999
D072203020049680631,???????,2.02203E+17,0,-999999,1,0,651,1,-999999,19,0,44,43,6000,6000,0.375,-999999,0.875,0,1,1,0,-999999,-999999,0,0,1,37,-999999,-999999
D072203020049680859,???????,2.02203E+17,0,-999999,-999999,0,460,0,-999999,26,0,49,34,-999999,-999999,0.7778,-999999,1,0,1,0,0,-999999,-999999,0,0,1,36,-999999,-999999
D072203020049680859,???????,2.02203E+17,0,-999999,-999999,0,460,0,-999999,26,0,49,34,-999999,-999999,0.7778,-999999,1,0,1,0,0,-999999,-999999,0,0,1,36,-999999,-999999
D072203020049680979,???????,2.02203E+17,0,-999999,0,0,439,0,-999999,17,0,11,157,3000,3000,0.125,348,1,0,1,1,0,-999999,-999999,0,1,1,21,-999999,-999999
D072203020049680979,???????,2.02203E+17,0,-999999,0,0,439,0,-999999,17,0,11,157,3000,3000,0.125,348,1,0,1,1,0,-999999,-999999,0,1,1,21,-999999,-999999
D072203020049690320,???????,2.02203E+17,0,-999999,1,0,167,0,-999999,32,0,30,50,3000,3206,0.9048,-999999,1,0,1,1,0,-999999,-999999,0,0,5,40,-999999,-999999
