"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"11164637010203155910","微博导流","11164309339567995076","0","-999999","0.000000","1","-999999","0","-999999","8","0","11","141","-999999.00","-999999.00","0.714300","630.0000","0.857100","0","1","1","0","-999999","-999999"
"11164637203525541235","微博导流","11164637203525541235","0","-999999","-999999.000000","0","170","0","-999999","14","0","43","48","-999999.00","0.00","0.200000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164637298555533507","微博导流","11164637298555533507","2","-999999","0.634400","1","56","0","42","19","0","85","104","4000.00","160000.00","0.000000","2688.0000","0.923100","0","1","1","0","-999999","-999999"
"11164637357804831566","微博导流","11164637357804831566","0","-999999","0.000000","0","-999999","0","-999999","5","0","9","154","-999999.00","-999999.00","0.833300","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164637468734193663","微博导流","11164637468734193663","0","-999999","0.881700","0","237","0","40","8","1","40","72","10000.00","32000.00","0.333300","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164637481707222768","微博导流","11164637481707222768","0","-999999","-999999.000000","0","-999999","0","-999999","20","0","69","175","-999999.00","-999999.00","0.526300","-999999.0000","0.894700","0","1","1","0","-999999","-999999"
"11164637563190453524","微博导流","11164637563190453524","0","-999999","-999999.000000","0","-999999","0","-999999","9","0","42","44","-999999.00","-999999.00","0.375000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164637587895173384","微博导流","11164637587895173384","1","-999999","-999999.000000","0","302","0","59","23","1","10","65","-999999.00","-999999.00","0.600000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164637627829972515","微博导流","11164637627829972515","1","1","0.714300","1","9","1","20","6","0","4","48","8000.00","20000.00","0.000000","-999999.0000","0.500000","1","1","1","0","-999999","-999999"
"11164637890216556638","微博导流","11164637890216556638","0","-999999","-999999.000000","0","439","0","-999999","4","0","112","64","-999999.00","-999999.00","-999999.000000","-999999.0000","-999999.000000","0","1","0","0","-999999","-999999"
"11164637909644722736","微博导流","11164637909644722736","1","-999999","1.000000","0","-999999","0","-999999","9","0","8","7","3000.00","3000.00","0.714300","-999999.0000","0.857100","0","1","1","0","-999999","-999999"
"11164637925401117510","微博导流","11164637925401117510","0","-999999","-999999.000000","0","-999999","0","-999999","1","0","1","1","-999999.00","-999999.00","0.000000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164638027043829270","微博导流","11164638027043829270","0","1","0.000000","1","73","0","22","26","1","139","43","1000.00","-999999.00","0.851900","1240.0000","0.963000","0","1","1","0","-999999","-999999"
"11164638109528411913","微博导流","11164638109528411913","1","-999999","0.989600","0","264","2","-999999","8","0","23","210","3000.00","56000.00","0.500000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164638258800071140","微博导流","11164638258800071140","1","-999999","0.156300","0","213","0","-999999","11","0","14","102","8000.00","10000.00","0.083300","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164638332732527192","微博导流","11164638332732527192","1","-999999","-999999.000000","0","-999999","0","-999999","10","0","46","46","-999999.00","-999999.00","0.812500","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164638336902485187","微博导流","11164638336902485187","1","-999999","-999999.000000","0","373","0","-999999","2","0","7","52","-999999.00","-999999.00","0.428600","-999999.0000","0.285700","0","1","0","0","-999999","-999999"
"11164638378468293183","微博导流","11164275380038971050","1","-999999","-999999.000000","0","-999999","0","-999999","14","0","76","49","-999999.00","-999999.00","0.818200","-999999.0000","0.909100","0","1","0","0","-999999","-999999"
"11164638391722149195","微博导流","11164638391722149195","1","1","0.000000","0","-999999","0","23","4","0","12","29","-999999.00","4500.00","0.818200","-999999.0000","1.000000","1","1","1","0","-999999","-999999"
