"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017","X172","X171","X170","X169","X016","X017"
"D072203020049661321","萨摩耶无限担保","202203020441131709","0","-999999","-999999.000000","0","-999999","0","-999999","9","0","68","28","-999999.00","-999999.00","0.428600","350.0000","1.000000","0","1","0","0","-999999","-999999","0","1","0","9","-999999","-999999"
"D072203020049661321","萨摩耶有限担保","202203020441131709","0","-999999","-999999.000000","0","-999999","0","-999999","9","0","68","28","-999999.00","-999999.00","0.428600","350.0000","1.000000","0","1","0","0","-999999","-999999","0","1","0","9","-999999","-999999"
"D072203020049661370","萨摩耶无限担保","202203020441132769","1","-999999","-999999.000000","0","93","0","-999999","19","0","33","53","-999999.00","-999999.00","0.500000","0.0000","0.833300","0","1","0","0","-999999","-999999","0","1","3","33","-999999","-999999"
"D072203020049661370","萨摩耶有限担保","202203020441132769","1","-999999","-999999.000000","0","93","0","-999999","19","0","33","53","-999999.00","-999999.00","0.500000","0.0000","0.833300","0","1","0","0","-999999","-999999","0","1","3","33","-999999","-999999"
"D072203020049670281","萨摩耶无限担保","202203020439736717","1","-999999","-999999.000000","0","145","0","-999999","27","0","21","28","-999999.00","-999999.00","0.333300","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","2","28","-999999","-999999"
"D072203020049670281","萨摩耶有限担保","202203020439736717","1","-999999","-999999.000000","0","145","0","-999999","27","0","21","28","-999999.00","-999999.00","0.333300","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","2","28","-999999","-999999"
"D072203020049670555","萨摩耶无限担保","202203020441115051","0","-999999","-999999.000000","0","218","0","-999999","26","0","21","18","-999999.00","-999999.00","0.684200","420.0000","1.000000","0","1","0","0","-999999","-999999","0","1","2","35","-999999","-999999"
"D072203020049670555","萨摩耶有限担保","202203020441115051","0","-999999","-999999.000000","0","218","0","-999999","26","0","21","18","-999999.00","-999999.00","0.684200","420.0000","1.000000","0","1","0","0","-999999","-999999","0","1","2","35","-999999","-999999"
"D072203020049670619","萨摩耶无限担保","202203020441115776","0","-999999","0.000000","0","652","0","-999999","21","0","36","39","4000.00","-999999.00","0.937500","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","1","33","-999999","-999999"
"D072203020049670619","萨摩耶有限担保","202203020441115776","0","-999999","0.000000","0","652","0","-999999","21","0","36","39","4000.00","-999999.00","0.937500","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","1","33","-999999","-999999"
