"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"11164429740023291623","微博导流","11164429740023291623","0","-999999","-999999.000000","0","-999999","0","-999999","9","0","44","50","-999999.00","-999999.00","0.625000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164429800814742919","微博导流","11164429800814742919","0","-999999","0.660700","0","113","0","42","5","0","74","135","10000.00","31000.00","0.100000","-999999.0000","0.800000","0","1","1","0","-999999","-999999"
"11164429993570820313","微博导流","11164429993570820313","0","-999999","-999999.000000","0","177","0","30","13","1","58","62","-999999.00","-999999.00","0.000000","972.0000","1.000000","0","1","0","0","-999999","-999999"
"11164430024298795374","微博导流","11164430024298795374","0","1","0.537000","0","270","0","12","16","0","34","41","14000.00","25000.00","0.653800","720.0000","0.961500","1","1","1","0","-999999","-999999"
"11164430036068649422","微博导流","11164430036068649422","0","-999999","0.501500","0","-999999","0","-999999","0","0","17","175","2000.00","60000.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164430109015660952","微博导流","11164402933404712273","2","-999999","1.000000","1","36","2","-999999","13","0","33","77","-999999.00","60000.00","0.125000","-999999.0000","0.625000","0","1","1","0","-999999","-999999"
"11164430133847599182","微博导流","11164430133847599182","0","1","0.959700","0","648","0","7","8","1","30","164","5000.00","50000.00","0.400000","1214.0000","1.000000","2","1","1","0","-999999","-999999"
"11164430243000732449","微博导流","11164430243000732449","1","-999999","-999999.000000","0","-999999","0","-999999","8","0","22","15","-999999.00","-999999.00","0.636400","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164430257912960878","微博导流","11164430257912960878","2","-999999","-999999.000000","0","-999999","0","-999999","19","0","44","29","-999999.00","-999999.00","0.794100","-999999.0000","0.970600","0","1","0","0","-999999","-999999"
"11164430693426317471","微博导流","11164430693426317471","0","-999999","1.000000","2","-999999","0","-999999","8","0","9","255","22000.00","54000.00","0.166700","728.0000","0.833300","0","1","1","0","-999999","-999999"
"11164430787562996245","微博导流","11164315532342640073","1","-999999","1.000000","0","-999999","2","-999999","6","0","27","34","7000.00","20000.00","0.777800","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164430885181087713","微博导流","11164430885181087713","0","1","0.580600","0","318","0","19","16","0","9","73","3000.00","18000.00","0.000000","-999999.0000","1.000000","1","1","1","0","-999999","-999999"
"11164431174270182550","微博导流","11164431174270182550","1","-999999","0.800000","0","449","0","-999999","4","0","18","29","3000.00","12000.00","0.571400","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164431257482998236","微博导流","11164431257482998236","2","-999999","1.000000","0","47","0","-999999","23","0","10","47","3000.00","27000.00","0.000000","-999999.0000","0.500000","0","1","1","0","-999999","-999999"
"11164431286773834443","微博导流","11164431286773834443","1","-999999","-999999.000000","1","-999999","0","-999999","3","0","9","59","-999999.00","-999999.00","0.142900","-999999.0000","0.857100","0","1","0","0","-999999","-999999"
"11164431539400432204","微博导流","11164431539400432204","0","-999999","-999999.000000","0","686","0","-999999","15","0","29","27","-999999.00","-999999.00","0.700000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164431559552896108","微博导流","11164431559552896108","3","-999999","0.000000","1","-999999","0","-999999","12","0","11","93","10000.00","10000.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164431674811481378","微博导流","11164232935121960390","0","-999999","0.000000","0","138","0","-999999","14","0","20","39","5000.00","-999999.00","0.454500","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164431689882094717","微博导流","11164431689882094717","0","-999999","0.000000","0","273","0","-999999","6","0","10","88","3000.00","30000.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164436493518436674","微博导流","11164436493518436674","1","-999999","1.000000","0","-999999","0","-999999","8","0","26","56","10000.00","60000.00","0.250000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164436524801491700","微博导流","11164436524801491700","1","-999999","0.000000","0","-999999","0","-999999","6","0","16","27","-999999.00","-999999.00","0.533300","980.0000","0.866700","0","1","1","0","-999999","-999999"
"11164436531488123821","微博导流","11164436531488123821","0","-999999","0.872800","1","-999999","0","-999999","24","0","25","162","5000.00","32000.00","0.000000","-999999.0000","0.700000","0","1","1","0","-999999","-999999"
"11164436603325040835","微博导流","11164436603325040835","1","-999999","-999999.000000","0","-999999","0","-999999","3","0","9","28","-999999.00","-999999.00","0.166700","384.0000","1.000000","0","1","0","0","-999999","-999999"
"11164436773366477693","微博导流","11164436773366477693","0","-999999","0.923100","0","512","0","26","14","0","22","59","5000.00","60000.00","0.411800","700.0000","1.000000","0","1","1","0","-999999","-999999"
"11164436895712283046","微博导流","11164436895712283046","0","-999999","-999999.000000","0","-999999","0","-999999","5","0","20","55","-999999.00","-999999.00","0.000000","560.0000","1.000000","0","1","0","0","-999999","-999999"
"11164437004693359474","微博导流","11164437004693359474","0","-999999","0.649100","0","39","0","-999999","22","0","40","128","-999999.00","74000.00","0.000000","840.0000","0.904800","0","1","1","0","-999999","-999999"
"11164437226308621175","微博导流","11164437226308621175","0","-999999","0.766400","0","655","1","27","7","0","7","52","5000.00","24300.00","0.600000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164437427432926566","微博导流","11164198206583462181","1","1","0.000000","0","118","0","14","11","1","63","63","-999999.00","-999999.00","0.523800","840.0000","1.000000","0","1","1","1","-999999","-999999"
"11164437891289737920","微博导流","11164437891289737920","0","-999999","1.000000","0","-999999","1","48","31","0","84","69","3000.00","5000.00","0.861500","-999999.0000","0.938500","0","1","1","0","-999999","-999999"
"11164437929949048766","微博导流","11164437929949048766","1","-999999","0.866100","0","58","0","-999999","17","0","36","76","3000.00","15000.00","0.454500","718.0000","1.000000","0","1","1","0","-999999","-999999"
"11164438146459139494","微博导流","11164438146459139494","0","-999999","-999999.000000","0","-999999","0","-999999","18","0","28","20","-999999.00","-999999.00","0.846200","0.0000","1.000000","0","1","0","0","-999999","-999999"
"11164438293789791740","微博导流","11164438293789791740","1","-999999","-999999.000000","0","80","0","-999999","28","0","94","25","-999999.00","-999999.00","0.809500","-999999.0000","0.904800","0","1","0","0","-999999","-999999"
"11164438299886849444","微博导流","11164438299886849444","0","-999999","0.400000","0","555","0","-999999","4","0","96","75","4000.00","8000.00","0.500000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164438430900889851","微博导流","11164419535778228402","1","-999999","0.000000","0","-999999","0","-999999","7","0","5","29","-999999.00","-999999.00","0.000000","-999999.0000","0.500000","0","1","1","0","-999999","-999999"
"11164438581837736850","微博导流","11164438581837736850","0","-999999","-999999.000000","0","-999999","0","-999999","4","0","9","78","-999999.00","-999999.00","0.000000","-999999.0000","0.400000","0","1","0","0","-999999","-999999"
"11164438781291630559","微博导流","11164438781291630559","3","-999999","1.000000","0","26","1","-999999","20","0","28","44","3000.00","3000.00","0.750000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164438809593275159","微博导流","11164412716204945164","0","-999999","-999999.000000","0","-999999","0","-999999","8","0","13","9","-999999.00","-999999.00","0.833300","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164438872616921656","微博导流","11164438872616921656","0","-999999","1.000000","0","391","2","-999999","16","0","62","59","12000.00","37000.00","0.083300","-999999.0000","0.750000","0","1","1","0","-999999","-999999"
"11164438971738037177","微博导流","11164438971738037177","0","-999999","1.000000","0","-999999","0","-999999","4","0","74","49","34000.00","34000.00","0.055600","658.0000","1.000000","0","1","1","0","-999999","-999999"
"11164438974181867700","微博导流","11164438974181867700","1","-999999","0.703200","2","215","0","51","8","0","13","323","10000.00","69000.00","0.000000","400.0000","0.833300","0","1","1","1","-999999","-999999"
"11164439652603435409","微博导流","11164439652603435409","1","-999999","0.000000","0","97","0","47","5","0","28","98","10000.00","-999999.00","0.333300","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164439789045141022","微博导流","11164291202058945875","0","-999999","-999999.000000","0","-999999","0","-999999","2","0","1","6","-999999.00","-999999.00","0.000000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164439842067854585","微博导流","11164396705598689876","0","-999999","1.000000","0","-999999","0","-999999","23","0","100","69","2000.00","14500.00","0.860000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164440070877611175","微博导流","11164385149440616509","1","-999999","1.000000","0","14","0","-999999","18","0","21","39","56000.00","56000.00","0.526300","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
